UI_V2_KEY,UI_ENGLISH_LANGUAGE,UI_SPANISH_LANGUAGE
PATIENT_SEARCH_ID_LABEL,"Patient, Visit, or Family ID","Número del paciente, visita, o familia"
PATIENT_SEARCH_NAMEFIRST_PLACEHOLDER,First name,Primer nombre
PATIENT_SEARCH_NAMELAST2_PLACEHOLDER,Second last name,Segundo apellido
PATIENT_SEARCH_NAMELAST_PLACEHOLDER,First last name,Apellido
PATIENT_SEARCH_NAMEMI_PLACEHOLDER,MI,Inicial
PATIENT_SEARCH_NAME_LABEL,Patient name,Nombre del paciente
PATIENT_SEARCH_NOT_FOUND,No matching patients found. Retry your search or add a new patient.,No hay pacientes con este ID o nombre. Buscar de nuevo o agregar un paciente nuevo.
PATIENT_SEARCH_RESULTS_HEADING,Matching patients found,Pacientes encontrados
PATIENT_SEARCH_SUBMIT,Show matching patients,Mostrar los pacientes que coincidan
PATIENT_SEARCH_TITLE,Patient Search,Buscar Paciente
PATIENT_SEX_F,F,M
PATIENT_SEX_LABEL,Sex (M/F),Sexo (H/M)
PATIENT_SEX_M,M,H
PATIENT_SEX_X,X,X
PATIENT_SUBMIT_EDIT,Update patient info,Actualizar información del paciente
PATIENT_SUBMIT_NEW,Add new patient,Agregar paciente nuevo
PATIENT_VISIT_HISTORY_HEADING,Earlier visits to this clinic,Visitas anteriores a esta clínica
SESSION_LOGGED_IN_AS,Logged in as,Inscrito como
SESSION_LOGOUT,Logout,Cerrar sesión
SESSION_SETTINGS,User settings,Configuración del usuario
SESSION_TIMEOUT,You haven't been using the system for a while so you were logged out.,No ha estado usando la consola por un rato y su sesión ha estado cerrado automáticamente.
STAFF_LABEL,Health professional,Profesional de salud
STAFF_SELECT_PLACEHOLDER,(Select the health professional),(Seleccione el profesional de salud)
VISIT_ACTIONS_LABEL,Visit actions,Acciones de la visita
VISIT_ADDITIONAL_NOTES_PLACEHOLDER,Additional visit notes,Notas adicionales de la visita
VISIT_ARRIVAL_HEADING,Arrival,Llegada
VISIT_ARRIVED_LABEL,Admitted to clinic,Llegó a la clínica
VISIT_ASSESSMENT_LABEL,Assessment,Tratamiento
VISIT_ASSIGNED_LABEL,Doctor,Doctor(a)
VISIT_BP_LABEL,B.P.,P.A.
VISIT_CANCEL,Cancel,Cancelar
VISIT_CLOSE_ACTION,Discharge this patient,Dar de alta el paciente
VISIT_CLOSE_CONFIRM,Confirm discharge — this will close the visit.,Confirmar alta — esto cerrará la visita.
VISIT_CLOSE_TITLE,Discharge patient,Cerrar la visita
VISIT_COMPLAINT_ADDITIONAL_LABEL,Additional visit notes,Notas adicionales de la visita
VISIT_COMPLAINT_PLACEHOLDER,Primary reason for visit,Primer motivo de la visita
VISIT_COMPLAINT_PRIMARY_LABEL,Primary reason for visit,Primer motivo de la visita
VISIT_CURRENT_HEADING,Patient is in the clinic now,El paciente está en la clínica ahora
VISIT_DATE_LABEL,Visit Date,Fecha de la visita
VISIT_DETAIL_TITLE,Patient Visit Details,Detalles de la visita
VISIT_DIAGNOSES_HEADING,Diagnoses and activities,Diagnóstico y actividades
VISIT_DIAGNOSIS_1_LABEL,Diagnosis 1,Diagnóstico 1
VISIT_DIAGNOSIS_2_LABEL,Diagnosis 2,Diagnóstico 2
VISIT_DIAGNOSIS_3_LABEL,Diagnosis 3,Diagnóstico 3
VISIT_DISCHARGED_LABEL,Discharged from clinic,Salió de la clínica
VISIT_DISCHARGE_HEADING,Discharge info,Dar de alta
VISIT_DOCTOR_LABEL,Doctor,Doctor(a)
VISIT_EDIT_ACTION,Edit this visit,Actualizar esta visita
VISIT_EDIT_TITLE,Edit Patient Visit Details,Actualizar detalles de la visita
VISIT_FIRST_VISIT_LABEL,New patient?,Nuevo o Subsiguiente?
VISIT_FIRST_VISIT_NO,No,Subsiguiente
VISIT_FIRST_VISIT_YES,Yes,Nuevo
VISIT_GLUCOSE_LABEL,RBS/FBS,RBS/FBS
VISIT_HEIGHT_LABEL,Height,Estatura
VISIT_ID_LABEL,ID,ID
VISIT_LIST_ACTIONS,Actions,Acciones
VISIT_LIST_ACTION_DISCHARGE,Discharge,Dar de alta
VISIT_LIST_ACTION_EDIT,Edit,Actualizar
VISIT_LIST_ACTION_VIEW,View,Ver
VISIT_OPEN_ACTION,Admit,Abra esta visita
VISIT_OPEN_TITLE,Admit patient,Abre una visita nueva para el paciente
VISIT_PAYMENT_LABEL,Payment,Pago
VISIT_PAYMENT_PLACEHOLDER,Payment amount,Pago
VISIT_PRECLINIC_HEADING,Pre-Clinic,Pre-Clínica
VISIT_PULSE_LABEL,Pulse,Pulso
VISIT_REASON_LABEL,Primary reason for visit,Primer motivo de la visita
VISIT_REFERRAL_FROM_PLACEHOLDER,Clinic name,Nombre de la clínica
VISIT_REFERRAL_HEADING,Referral info,Remisión
VISIT_REFERRAL_TO_PLACEHOLDER,Specialist or clinic name,Especialista o clínica
VISIT_REFERRED_FROM_LABEL,Referred from,Recibido de
VISIT_REFERRED_TO_LABEL,Referred to,Enviado a
VISIT_SAVE,Save,Guardar
VISIT_STATUS_CLOSED,Discharged,Dado de alta
VISIT_STATUS_LABEL,Status,Estatus
VISIT_STATUS_OPEN,Admitted,Admitido
VISIT_TEMP_LABEL,Temp.,Temp.
VISIT_TYPE_EMERGENCY,Emergency,Emergencia
VISIT_TYPE_LABEL,Visit type,Tipo de la visita
VISIT_TYPE_OUTPATIENT,Outpatient,Consulta externa
VISIT_TYPE_PLACEHOLDER,(Select the visit type),(Seleccione el tipo de la atención)
VISIT_TYPE_SPECIALIST,Specialist,Especialista
VISIT_WEIGHT_LABEL,Weight,Peso
YES_OPTION,Yes,Sí
